#x_pos #P_tot_x #P_tot_y #P_tot_z #P_v2_x #P_v2_y #P_v2_z #P_obs_par_x #P_obs_par_y #P_obs_par_z #P_par_par_x #P_par_par_y #P_par_par_z #P_par_v2_x #P_par_v2_y #P_par_v2_z 
-4.500000000000000000e+01 7.501671461140880126e+00 4.776369923229169423e+00 4.825359169497603240e+00 1.048474930887410839e+00 9.937788174930169971e-01 9.511998637138728840e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.453196530253468843e+00 3.782591105736152315e+00 3.874159305783730023e+00 7.501671461140880126e+00 4.776369923229169423e+00 4.825359169497603240e+00
-4.250000000000000000e+01 7.468756227798413860e+00 5.617711805620098531e+00 4.826707039226393547e+00 1.035918365326404356e+00 9.938855149383036824e-01 9.725776597041595473e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.432837862472009505e+00 4.623826290681794404e+00 3.854129379522233556e+00 7.468756227798413860e+00 5.617711805620098531e+00 4.826707039226393547e+00
-4.000000000000000000e+01 9.041457376182876260e+00 5.609822756873126259e+00 5.531902989713997520e+00 1.046004896321559130e+00 1.024939099813937604e+00 9.789063293113730024e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.995452479861316242e+00 4.584883657059188877e+00 4.552996660402624407e+00 9.041457376182876260e+00 5.609822756873126259e+00 5.531902989713997520e+00
-3.750000000000000000e+01 8.399603432879224840e+00 5.334717326977884255e+00 5.471183184535245658e+00 1.071963552401973940e+00 1.046439296271992392e+00 1.005338918659281378e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.327639880477251566e+00 4.288278030705892085e+00 4.465844265875964503e+00 8.399603432879224840e+00 5.334717326977884255e+00 5.471183184535245658e+00
-3.500000000000000000e+01 7.680469752892382651e+00 5.171917354762842756e+00 5.451937864006363377e+00 1.096873981977547041e+00 1.007957212960947091e+00 9.985218083818029333e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.583595770914835832e+00 4.163960141801895887e+00 4.453416055624560776e+00 7.680469752892382651e+00 5.171917354762842756e+00 5.451937864006363377e+00
-3.250000000000000000e+01 7.973709761546336594e+00 5.086785198761622162e+00 5.126744231840418387e+00 1.072733482662682647e+00 1.014806856528914780e+00 9.790273375561858726e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.900976278883653947e+00 4.071978342232707604e+00 4.147716894284232403e+00 7.973709761546336594e+00 5.086785198761622162e+00 5.126744231840418387e+00
-3.000000000000000000e+01 8.299769394133335254e+00 5.740685353888865805e+00 5.298439832667812155e+00 1.056385548931923379e+00 1.040323109087142761e+00 1.017313304439101618e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.243383845201412541e+00 4.700362244801723044e+00 4.281126528228710981e+00 8.299769394133335254e+00 5.740685353888865805e+00 5.298439832667812155e+00
-2.750000000000000000e+01 9.053890067782431217e+00 5.492961232514003811e+00 5.790728962997089724e+00 1.089184710012473190e+00 1.050876384566700628e+00 1.031691735828626388e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.964705357769958027e+00 4.442084847947302961e+00 4.759037227168463779e+00 9.053890067782431217e+00 5.492961232514003811e+00 5.790728962997089724e+00
-2.500000000000000000e+01 8.573427136729190323e+00 6.031031290589494276e+00 5.711518439723535678e+00 1.125256122916585166e+00 1.051062317080524888e+00 1.016876500452686960e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.448171013812605601e+00 4.979968973508968944e+00 4.694641939270848496e+00 8.573427136729190323e+00 6.031031290589494276e+00 5.711518439723535678e+00
-2.250000000000000000e+01 8.239587121113824963e+00 5.708204232588736105e+00 6.046451500166105220e+00 1.131152599708067807e+00 1.061622726341926670e+00 1.070091086160747329e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.108434521405757600e+00 4.646581506246809212e+00 4.976360414005357669e+00 8.239587121113824963e+00 5.708204232588736105e+00 6.046451500166105220e+00
-2.000000000000000000e+01 7.806818667947418966e+00 5.012100658373219275e+00 5.560741279401838710e+00 1.168168333842168005e+00 1.056884300437319846e+00 1.131134110403708704e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.638650334105251183e+00 3.955216357935899651e+00 4.429607168998130007e+00 7.806818667947418966e+00 5.012100658373219275e+00 5.560741279401838710e+00
-1.750000000000000000e+01 9.708417935664671816e+00 6.738392636715305528e+00 6.433409392581872055e+00 1.191664664140744234e+00 1.086730037545466043e+00 1.176213473205385052e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.516753271523928248e+00 5.651662599169839929e+00 5.257195919376487225e+00 9.708417935664671816e+00 6.738392636715305528e+00 6.433409392581872055e+00
-1.500000000000000000e+01 7.523320194572614028e+00 5.580187444223425608e+00 4.838428429340514647e+00 1.205607507587931115e+00 1.146425348491737273e+00 1.199812224661936488e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.317712686984682691e+00 4.433762095731688113e+00 3.638616204678577937e+00 7.523320194572614028e+00 5.580187444223425608e+00 4.838428429340514647e+00
-1.250000000000000000e+01 8.385230791487074953e+00 5.607805825956901913e+00 5.422213500689171184e+00 1.135544228565471991e+00 1.060470505261107421e+00 1.042503406029884783e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.249686562921602295e+00 4.547335320695794714e+00 4.379710094659285957e+00 8.385230791487074953e+00 5.607805825956901913e+00 5.422213500689171184e+00
-1.000000000000000000e+01 8.111978386293982046e-01 1.298620395757638324e+00 1.327637865102943460e+00 7.877940897167788892e-01 6.936539495679464595e-01 6.491604757649731550e-01 -1.748025763010133238e+00 -5.785378912972971577e-01 -5.811716585231074816e-01 1.771429511922752553e+00 1.183504337486988911e+00 1.259649047861077786e+00 2.559223601639531331e+00 1.877158287054935482e+00 1.908809523626050941e+00
-7.500000000000000000e+00 2.289895331843172510e+00 1.439685648873996193e+00 1.365738026288789708e+00 5.472688079449778975e-01 4.158722903683049754e-01 4.059110190904741122e-01 -5.325303781661346741e-02 -6.522196703368428328e-02 -6.699861053649430742e-02 1.795879561714808004e+00 1.089035325539375432e+00 1.026825617734810070e+00 2.343148369659785679e+00 1.504907615907680407e+00 1.432736636825284293e+00
-5.000000000000000000e+00 2.493685188836788580e+00 1.505204920740924601e+00 1.491077654032241018e+00 5.675219236452352378e-01 4.364254387888144016e-01 4.139186898260017733e-01 -5.540238222500212806e-02 -7.058843529320237009e-02 -7.025009423998891667e-02 1.981565647416555276e+00 1.139367917245312611e+00 1.147409058446228203e+00 2.549087571061790403e+00 1.575793356034127068e+00 1.561327748272229865e+00
